"AC","Architecture & Construction","Arquitectura y Construcción","Arquitectura y Construcción","Arquitectura, Diseño y Construcción","Arquitectura","Arquitectura","Arquitetura e Urbanismo"
"AG","Agriculture, Food & Natural Resources","Agricultura, Alimentos y Recursos Naturales","Agricultura, Alimentos y Recursos Naturales","Medicina Veterinaria y Agronomía","Administración y Agronegocios","Ingeniería en Agroindustrial y de Alimentos",
"AR","Arts, A/V Technology & Communications","Artes y Comunicación","Artes y Comunicación","Comunicaciones y Arte","Artes Contemporáneas","Artes","Artes, Tecnologia Audiovisual e Comunicações"
"BU","Business Management & Administration","Administración y Gestión de Empresas","Administración y Gestión de Empresas","Ingeniería y Negocios","Administracion y Negocios","Ingeniería en Adminsitración de Empresas","Gestão e Administração de Negócios"
"ED","Education & Training","Educación y Capacitación","Educación y Capacitación","Educación","Educación","Psicopedagogía","Educação e Capacitação"
"FI","Finance","Finanzas","Finanzas","Economía y Finanzas","Economía y Finanzas","Ingeniería en Finanzas",
"GO","Government & Public Administration","Gobierno y Administración Pública","Gobierno y Administración Pública","Administración Pública","Gobierno y Administración Pública","Gobierno y Administración Pública","Administração Governamental e Pública"
"HE","Health Science","Ciencias de la Salud","Ciencias de la Salud","Ciencias de la Salud","Ciencias de la Salud","Ciencias de la Salud","Ciências da Saúde"
"HS","Human Services","Apoyo y Orientación Familiar","Apoyo y Orientación Personal y Familiar","Ciencias Sociales y Servicios","Ciencias Humanas","Ciencias Sociales","Serviços Sociais"
"HT","Hospitality & Tourism","Hospitalidad y turismo",,"Hotelería y Turismo","Hotelería","Ingeniería en Administración Hotelería y Turística","Hotelaria e Turismo"
"IT","Information Technology","Tecnología informática","Tecnologías de Información","Tecnología de la información","Tecnología Informática","Ingeniería en Sistemas",
"LA","Law, Public Safety, Corrections & Security","Derecho y Seguridad Pública","Derecho y Seguridad","Derecho","Derecho","Derecho","Direito, Segurança Pública, Serviços Correcionais e Segurança"
"MF","Manufacturing","Fabricación",,"Ingeniería Industrial","Ingeniería Industrial","Ingeniería en Producción Industrial","Manufatura"
"MK","Marketing","Mercadotecnia","Mercadotecnia","Marketing","Marketing","Ingeniería en Marketing","Marketing"
"SC","Science, Technology, Engineering & Math","Ciencias, Ingeniería y Tecnología","Ciencias, Ingeniería y Tecnología","Ciencias, Ingeniería y Tecnología","Ciencias, Ingeniería y Tecnología","Ciencias, Ingeniería y Tecnología",
"TR","Transportation, Distribution & Logistics","Distribución y Logística","Distribución y Logística","Logística y Transporte","Distribución y Logística","Distribución y Logística","Transporte, Distribuição e Logística"
